order_id,product_id,add_to_cart_order,reordered,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
0,0,0,0,0,0,eval_set,0,0,0,0
38,11913,1,0,38,42756,train,6,6,16,24
38,18159,2,0,38,42756,train,6,6,16,24
38,4461,3,0,38,42756,train,6,6,16,24
38,21616,4,1,38,42756,train,6,6,16,24
38,23622,5,0,38,42756,train,6,6,16,24
38,32433,6,0,38,42756,train,6,6,16,24
38,28842,7,0,38,42756,train,6,6,16,24
38,42625,8,0,38,42756,train,6,6,16,24
38,39693,9,0,38,42756,train,6,6,16,24
96,20574,1,1,96,17227,train,7,6,20,30
96,30391,2,0,96,17227,train,7,6,20,30
96,40706,3,1,96,17227,train,7,6,20,30
96,25610,4,0,96,17227,train,7,6,20,30
96,27966,5,1,96,17227,train,7,6,20,30
96,24489,6,1,96,17227,train,7,6,20,30
96,39275,7,1,96,17227,train,7,6,20,30
98,8859,1,1,98,56463,train,41,3,8,14
98,19731,2,1,98,56463,train,41,3,8,14
98,43654,3,1,98,56463,train,41,3,8,14
98,13176,4,1,98,56463,train,41,3,8,14
98,4357,5,1,98,56463,train,41,3,8,14
98,37664,6,1,98,56463,train,41,3,8,14
98,34065,7,1,98,56463,train,41,3,8,14
98,35951,8,1,98,56463,train,41,3,8,14
98,43560,9,1,98,56463,train,41,3,8,14
98,9896,10,1,98,56463,train,41,3,8,14
98,27509,11,1,98,56463,train,41,3,8,14
98,15455,12,1,98,56463,train,41,3,8,14
98,27966,13,1,98,56463,train,41,3,8,14
98,47601,14,1,98,56463,train,41,3,8,14
98,40396,15,1,98,56463,train,41,3,8,14
98,35042,16,1,98,56463,train,41,3,8,14
98,40986,17,1,98,56463,train,41,3,8,14
98,1939,18,1,98,56463,train,41,3,8,14
98,46313,19,1,98,56463,train,41,3,8,14
98,329,20,1,98,56463,train,41,3,8,14
98,30776,21,1,98,56463,train,41,3,8,14
98,36695,22,1,98,56463,train,41,3,8,14
98,27683,23,1,98,56463,train,41,3,8,14
98,15995,24,1,98,56463,train,41,3,8,14
98,27344,25,1,98,56463,train,41,3,8,14
98,47333,26,1,98,56463,train,41,3,8,14
98,48287,27,1,98,56463,train,41,3,8,14
98,45204,28,1,98,56463,train,41,3,8,14
98,24964,29,1,98,56463,train,41,3,8,14
98,18117,30,1,98,56463,train,41,3,8,14
98,46413,31,1,98,56463,train,41,3,8,14
98,34126,32,1,98,56463,train,41,3,8,14
98,9373,33,1,98,56463,train,41,3,8,14
98,22935,34,1,98,56463,train,41,3,8,14
98,46720,35,1,98,56463,train,41,3,8,14
98,44479,36,1,98,56463,train,41,3,8,14
98,790,37,1,98,56463,train,41,3,8,14
98,18441,38,1,98,56463,train,41,3,8,14
98,45007,39,1,98,56463,train,41,3,8,14
98,20520,40,1,98,56463,train,41,3,8,14
98,7461,41,1,98,56463,train,41,3,8,14
98,26317,42,1,98,56463,train,41,3,8,14
98,3880,43,1,98,56463,train,41,3,8,14
98,36364,44,0,98,56463,train,41,3,8,14
98,32463,45,0,98,56463,train,41,3,8,14
98,41387,46,1,98,56463,train,41,3,8,14
98,31066,47,0,98,56463,train,41,3,8,14
98,17747,48,1,98,56463,train,41,3,8,14
98,25659,49,0,98,56463,train,41,3,8,14
226,28199,1,0,226,51011,train,4,0,12,30
226,24852,2,0,226,51011,train,4,0,12,30
226,29883,3,1,226,51011,train,4,0,12,30
226,28427,4,1,226,51011,train,4,0,12,30
226,7754,5,1,226,51011,train,4,0,12,30
226,39947,6,1,226,51011,train,4,0,12,30
226,47307,7,0,226,51011,train,4,0,12,30
226,36291,8,0,226,51011,train,4,0,12,30
226,39275,9,0,226,51011,train,4,0,12,30
226,1940,10,0,226,51011,train,4,0,12,30
226,2040,11,0,226,51011,train,4,0,12,30
226,20711,12,0,226,51011,train,4,0,12,30
226,47501,13,0,226,51011,train,4,0,12,30
762,21137,1,1,762,41751,train,5,6,12,6
762,41220,2,0,762,41751,train,5,6,12,6
762,15872,3,0,762,41751,train,5,6,12,6
762,30391,4,0,762,41751,train,5,6,12,6
774,47482,1,0,774,27650,train,25,0,17,12
774,43335,2,1,774,27650,train,25,0,17,12
774,16108,3,1,774,27650,train,25,0,17,12
844,14992,1,1,844,27766,train,10,6,15,11
844,21405,2,1,844,27766,train,10,6,15,11
844,11182,3,1,844,27766,train,10,6,15,11
844,28289,4,1,844,27766,train,10,6,15,11
844,9387,5,1,844,27766,train,10,6,15,11
844,18599,6,1,844,27766,train,10,6,15,11
844,31766,7,1,844,27766,train,10,6,15,11
878,48070,1,1,878,61911,train,9,2,13,30
878,24852,2,1,878,61911,train,9,2,13,30
878,23044,3,0,878,61911,train,9,2,13,30
878,45066,4,1,878,61911,train,9,2,13,30
878,21903,5,1,878,61911,train,9,2,13,30
878,24964,6,0,878,61911,train,9,2,13,30
878,47209,7,1,878,61911,train,9,2,13,30
878,40706,8,0,878,61911,train,9,2,13,30
878,21616,9,0,878,61911,train,9,2,13,30
878,10305,10,0,878,61911,train,9,2,13,30
878,21137,11,1,878,61911,train,9,2,13,30
878,9076,12,0,878,61911,train,9,2,13,30
878,27104,13,1,878,61911,train,9,2,13,30
878,48679,14,0,878,61911,train,9,2,13,30
878,10749,15,1,878,61911,train,9,2,13,30
878,31717,16,1,878,61911,train,9,2,13,30
878,30720,17,1,878,61911,train,9,2,13,30
878,16759,18,0,878,61911,train,9,2,13,30
878,5876,19,0,878,61911,train,9,2,13,30
878,8193,20,0,878,61911,train,9,2,13,30
878,43789,21,0,878,61911,train,9,2,13,30
878,26209,22,0,878,61911,train,9,2,13,30
878,11262,23,0,878,61911,train,9,2,13,30
878,17652,24,0,878,61911,train,9,2,13,30
878,34913,25,0,878,61911,train,9,2,13,30
878,47156,26,0,878,61911,train,9,2,13,30
878,40174,27,0,878,61911,train,9,2,13,30
878,31343,28,0,878,61911,train,9,2,13,30
904,8013,1,0,904,47848,train,10,4,9,24
904,46149,2,0,904,47848,train,10,4,9,24
988,45061,1,0,988,310,train,100,2,9,4
988,28464,2,0,988,310,train,100,2,9,4
988,12626,3,0,988,310,train,100,2,9,4
988,4818,4,1,988,310,train,100,2,9,4
1001,34966,1,1,1001,47475,train,15,4,16,7
1001,23517,2,1,1001,47475,train,15,4,16,7
1001,26369,3,1,1001,47475,train,15,4,16,7
1001,43961,4,1,1001,47475,train,15,4,16,7
1042,24852,1,1,1042,16111,train,10,1,17,30
1042,33000,2,1,1042,16111,train,10,1,17,30
1042,16083,3,1,1042,16111,train,10,1,17,30
1042,10814,4,1,1042,16111,train,10,1,17,30
1042,21634,5,0,1042,16111,train,10,1,17,30
1042,35140,6,1,1042,16111,train,10,1,17,30
1042,23094,7,1,1042,16111,train,10,1,17,30
1042,28985,8,1,1042,16111,train,10,1,17,30
1139,24852,1,1,1139,34221,train,4,5,7,30
1139,21137,2,1,1139,34221,train,4,5,7,30
1139,34969,3,0,1139,34221,train,4,5,7,30
1139,46993,4,0,1139,34221,train,4,5,7,30
1139,40396,5,0,1139,34221,train,4,5,7,30
1139,45757,6,0,1139,34221,train,4,5,7,30
